employee_residence,experience_level,count
CN,Entry-level,149
CN,Expert-level,158
CN,Mid-level,144
CN,Senior-level,165
DE,Entry-level,164
DE,Expert-level,145
DE,Mid-level,162
DE,Senior-level,170
IN,Entry-level,153
IN,Expert-level,177
IN,Mid-level,161
IN,Senior-level,172
JP,Entry-level,171
JP,Expert-level,174
JP,Mid-level,167
JP,Senior-level,185
MX,Entry-level,168
MX,Expert-level,148
MX,Mid-level,161
MX,Senior-level,150
UK,Entry-level,137
UK,Expert-level,164
UK,Mid-level,162
UK,Senior-level,148
US,Entry-level,173
US,Expert-level,153
US,Mid-level,155
US,Senior-level,164
